timestamp,amount,merchant,description,category
2025-06-13 05:54:06.397872,11.78,KLIA Transit,Public transport pass,Transport
2025-04-19 12:19:16.349962,349.89,Econsave,Buying fresh milk and bread,Groceries
2025-01-15 04:24:12.381961,84.88,Redbox Karaoke,In-game purchase,Entertainment
2025-05-25 20:03:26.076807,319.94,Celcom,Cloud storage fee,Bills & Utilities
2024-10-27 09:59:44.354710,343.08,Harvey Norman,Office attire,Shopping
2025-06-25 01:07:39.795576,334.77,Sephora,Laptop purchase,Shopping
2024-12-18 13:01:21.988261,14.09,KFC,Team lunch,Food & Drink
2025-03-11 14:22:24.833796,35.07,KLIA Ekspres,Public transport pass,Transport
2024-10-07 10:56:42.665389,25.13,Kyochon,Supper,Food & Drink
2024-10-04 16:34:32.854381,561.88,Uniqlo,Sporting goods,Shopping
2025-07-20 18:35:31.572679,25.36,Netflix,Cloud storage fee,Bills & Utilities
2025-02-03 13:48:41.544784,136.7,Anytime Fitness,First aid supplies,Health
2024-10-11 10:47:19.745158,173.77,Guardian,New glasses,Health
2025-02-13 10:53:06.668714,55.54,Pizza Hut,Weekend brunch,Food & Drink
2025-05-19 22:04:14.719504,10.13,KFC,Quick bite,Food & Drink
2025-06-16 21:47:24.383487,196.77,Sunway Lagoon,Aquarium visit,Entertainment
2025-03-15 21:44:13.826712,287.11,Ben's Independent Grocer,Organic food purchase,Groceries
2025-05-31 05:28:43.532456,33.04,Tenaga Nasional,Cloud storage fee,Bills & Utilities
2025-06-17 17:23:23.023412,313.19,Netflix,Gas bill,Bills & Utilities
2024-09-15 04:42:00.638945,260.34,Astro,Software subscription,Bills & Utilities
2024-11-25 12:39:15.126899,130.23,iCare Dental,Gym membership,Health
2025-07-05 22:17:06.734139,28.14,Grab,Flight ticket booking,Transport
2024-09-17 00:11:43.723645,195.62,Jaya Grocer,Frozen food restock,Groceries
2025-03-01 18:12:35.831913,157.69,Maxis,Phone bill,Bills & Utilities
2024-11-28 02:00:48.743587,215.15,Mid Valley Megamall,Sporting goods,Shopping
2024-10-11 15:43:09.697411,54.75,Moovit,Car rental,Transport
2025-08-01 19:30:53.527998,204.29,BIG Pharmacy,Physiotherapy session,Health
2025-06-25 13:00:07.047941,45.43,Subway,Business dinner,Food & Drink
2025-04-04 11:06:10.207791,164.01,TGV Cinemas,Escape room game,Entertainment
2025-03-14 16:26:21.347638,149.11,Disney+ Hotstar,Gas bill,Bills & Utilities
2025-05-27 22:36:38.062516,231.31,Netflix,Software subscription,Bills & Utilities
2024-08-21 00:02:58.078765,178.27,B.I.G.,Dairy and eggs,Groceries
2024-09-18 15:30:43.296568,17.51,FamilyMart,Takeaway sushi,Food & Drink
2024-12-03 01:53:56.740110,52.26,Maxis,Gas bill,Bills & Utilities
2025-01-14 19:15:13.078410,247.19,Aquaria KLCC,Movie tickets,Entertainment
2024-11-27 02:36:38.614617,100.5,B.I.G.,Buying fresh milk and bread,Groceries
2024-09-23 12:22:00.201871,47.82,OldTown White Coffee,Breakfast set,Food & Drink
2025-01-19 03:48:09.531266,12.84,Caltex,Toll payment,Transport
2024-10-10 01:00:51.128238,27.87,NSK Trade City,Organic food purchase,Groceries
2024-09-21 08:05:05.659764,154.93,Redbox Karaoke,Karaoke session,Entertainment
2025-05-25 21:33:06.422755,53.3,Petronas,Expressway toll,Transport
2024-11-15 05:29:34.348239,155.9,Klinik Kesihatan,Dental check-up,Health
2024-09-20 19:07:40.941420,194.12,iCare Dental,Health screening,Health
2024-12-19 17:07:43.238996,300.05,Mid Valley Megamall,Sneakers,Shopping
2024-10-10 06:39:33.145595,202.87,Air Selangor,Internet bill,Bills & Utilities
2024-11-28 19:46:31.196782,11.94,Coffee Bean,Dinner takeout,Food & Drink
2024-08-14 19:45:49.405487,25.03,Aquaria KLCC,Karaoke session,Entertainment
2024-09-24 19:58:20.766110,106.09,KK Super Mart,Restocking pantry,Groceries
2025-05-12 19:38:25.229433,127.71,Steam Games,Weekend movie,Entertainment
2024-10-28 11:52:40.851434,38.37,Easybook,Flight ticket booking,Transport
2024-09-24 18:25:03.306326,8.39,Petronas,Airport commute,Transport
2024-11-17 10:30:02.199759,52.32,KLIA Transit,Fuel top-up,Transport
2024-09-16 15:27:15.763638,132.1,GSC Cinemas,Escape room game,Entertainment
2025-01-07 13:46:25.936025,18.36,Moovit,Flight ticket booking,Transport
2024-11-27 02:45:48.630105,31.16,Moovit,Flight ticket booking,Transport
2025-04-20 09:35:18.162618,73.69,Giant,Buying snacks,Groceries
2024-12-25 17:29:36.989339,168.4,Watsons,First aid supplies,Health
2025-06-18 13:11:18.900190,52.7,Digi,Mobile postpaid,Bills & Utilities
2024-10-04 01:09:55.049926,36.7,AirAsia Ride,Toll payment,Transport
2024-09-15 14:56:09.916495,49.51,McDonald's,Supper,Food & Drink
2025-06-23 13:27:45.518423,212.62,Fitness First,Vitamins purchase,Health
